height,weight,shoot,3pt,score,rebound,assist,steal,block,position,forward,center,guard
2.01,97.5,33.3,0,1,1.3,0.1,0,0.1,0,1,0,0
1.85,86,53.1,39.3,12.6,3.5,3.3,0.5,0,2,0,0,1
1.83,83.9,4.7,38,6.9,0.9,1.5,0.5,0.1,2,0,0,1
2.13,108.9,62.2,12.5,5.5,4.2,0.7,0.3,0.8,1,0,1,0
2.01,104.3,48.2,36.7,28.6,8.3,9.1,1,0.6,0,1,0,0
2.01,99.8,43.2,34.4,8.3,5.2,1.5,0.9,0.4,0,1,0,0
1.96,90.7,45.8,15.4,2.4,1.9,0.5,0.2,0.1,2,0,0,1
1.96,93,45,39.5,16.8,3.4,1.8,0.5,0.1,2,0,0,1
1.96,95.3,29.4,16.7,1.7,0.3,0.4,0.2,0.1,2,0,0,1
2.08,108.9,45.2,45.2,7.8,5.4,1.3,0.5,0.8,0,1,0,0
2.24,131.5,50,0,4.8,4.3,0.3,0.1,0.1,1,0,1,0
2.21,108.9,47.7,36.6,20.4,9,1.5,0.4,1.6,0,1,0,0
2.08,108.9,47.8,18.8,4.5,3.3,0.8,0.6,0.3,0,1,0,0
1.96,90.7,43.2,31.4,12.9,3.5,2.7,1,0.4,2,0,0,1
1.88,72.6,31.3,0,1,0.5,0.5,0.5,0,2,0,0,1
1.98,82.1,43.3,37.6,12.5,4.1,3,0.9,0.5,2,0,0,1
2.18,99.8,52.8,50,2.6,0.8,0.3,0.1,0.3,1,0,1,0
1.78,88.5,37.7,35.7,4.9,1.3,2.8,1,0.2,2,0,0,1
2.03,107,42.4,27.8,1.5,1.2,0.3,0.3,0.1,0,1,0,0
1.98,93,43.3,36.3,7.3,3.7,1.6,0.5,0.5,2,0,0,1
2.03,106.6,66.7,25,13,2,1,1,0,0,1,0,0
2.03,103,45.4,40.2,8.8,5.4,0.8,0.6,0.3,0,1,0,0
1.78,79.4,22,17.2,1.1,0.3,0.4,0.1,0,2,0,0,1
2.11,128.8,57.1,42.8,26.9,11.1,8.5,1.6,0.7,1,0,1,0
2.01,116.6,50.6,37.3,9.7,5.1,1.8,1,0.6,0,1,0,0
1.88,83,47.1,35.1,10.4,2.2,3.4,0.7,0.3,2,0,0,1
1.9,97.5,48.1,41.1,21,3.9,4.9,1.3,0.3,2,0,0,1
2.06,108.9,52.4,41.3,3.8,1.7,0.2,0.1,0.1,0,1,0,0
2.08,98.9,52.7,44,16.3,7.4,0.9,0.7,0.9,0,1,0,0
1.93,88.5,45.2,39.3,6,2.9,1.5,0.8,0.5,2,0,0,1
1.9,83.9,47.5,40.9,29.1,5.3,6.2,1.4,0.1,2,0,0,1
1.98,104.3,40.3,26.6,6.1,6.4,8.4,1.4,0.8,0,1,0,0
1.96,95.3,45.7,39,6.6,3.1,1.4,0.6,0.1,2,0,0,1
2.06,100.7,59.2,44.4,3.9,4.1,1.8,0.4,0.4,0,1,0,0
1.88,86.2,34.1,40,5.3,1.8,2.8,0.7,0,2,0,0,1
1.9,83.5,41.9,39.6,3.8,0.8,0.4,0.2,0.2,2,0,0,1
2.01,92.1,43.7,30.4,15.2,6,1.4,1,0.8,0,1,0,0
1.98,115.7,49.6,32,9.5,3.1,1.3,0.3,0.2,0,1,0,0
1.93,88,47.1,37.3,11,1.6,1.7,0.3,0.1,2,0,0,1
2.08,97.5,28.6,25,1.3,0,0,0,0,0,1,0,0
1.98,94.8,55.7,43.8,5.1,4,2.2,0.7,0.5,0,1,0,0
2.01,89.4,47.4,39.7,18.2,4.7,2.2,0.9,0.9,0,1,0,0
2.13,108.9,52.2,33.3,11.8,5.9,0.6,0.3,1,1,0,1,0
1.8,83,47.7,34.8,10.3,2.3,4.3,0.7,0,2,0,0,1
1.9,81.6,16.7,25,3,2,3,2,0,2,0,0,1
1.96,99.3,43.2,40.3,7.8,4.7,1.5,0.8,0.3,2,0,0,1
1.9,97.5,43.3,32.9,17.8,2.1,2.6,0.5,0.5,2,0,0,1
1.98,99.8,40.7,35.7,9.4,4,2,0.6,0.5,0,1,0,0
1.98,103,21.2,15.8,2.5,3.4,0.3,0.1,0.1,0,1,0,0
1.98,97.5,51,36.4,6.9,4.6,0.7,0.6,0.9,0,1,0,0
1.9,88.5,35.5,32.7,7.5,2.1,0.9,0.6,0.1,2,0,0,1
1.96,99.3,48.6,27,9.2,3.9,1,1,0.7,2,0,0,1
2.11,108.9,60,36.4,20.5,6.5,3,2,1,0,1,0,0
2.11,109.3,41.4,26.5,5.4,3.8,1.1,0.9,1.1,1,0,1,0
1.93,92.1,43.1,21.8,15.4,2.9,5.8,1,0.6,2,0,0,1
1.93,104.3,52,31.9,10.6,5.5,1.8,1.1,0.6,0,1,0,0
1.9,95.3,40,31.8,20.2,3.4,6.8,1,0.8,2,0,0,1
2.08,104.8,46.9,46.7,6,3.6,0.7,0.1,0.7,0,1,0,0
2.08,97.1,55.1,37.9,21.5,9.8,1.3,0.8,1.4,0,1,0,0
1.93,84.8,44.8,39.9,20.3,4.6,2.5,0.9,0.2,2,0,0,1
1.98,88.5,41.6,21.1,6.3,4,0.7,0.6,0.3,2,0,0,1
2.06,98.9,41.9,0,2.3,5.1,1,0.5,0.5,1,0,1,0
1.93,102.1,38.5,31.5,17,4.3,2.5,1,0.4,2,0,0,1
2.06,97.1,44.7,33.7,7.1,4.4,0.6,0.4,0.1,0,1,0,0
2.03,94.8,49,29.2,5.8,1.9,0.8,0.8,0.5,0,1,0,0
2.06,83.9,43.5,36.1,6,3.4,0.9,0.5,1,0,1,0,0
1.8,83.9,37,33.3,5.1,2.3,4.7,1.1,0.2,2,0,0,1
1.93,91.2,45.3,35.8,10.4,2.3,1.6,0.6,0.3,2,0,0,1
1.93,96.6,35,22.7,4.8,2.5,1.2,0.9,0.4,2,0,0,1
2.06,119.7,52.2,33.6,11.2,4.5,1.2,0.6,1.1,1,0,1,0
1.9,86.2,38.9,30.3,8.4,3.1,6.9,1.4,0.1,2,0,0,1
1.93,87.5,42.6,39.9,19.3,2.7,5.1,1.1,0.5,2,0,0,1
2.11,112.5,49.1,40,23.8,10.4,4.3,0.8,1.5,1,0,1,0
2.06,97.1,60.1,25,5.5,5.4,1.3,1,0.7,0,1,0,0
2.03,104.3,46.5,42.8,8.6,4.8,2.3,1.1,0.4,2,0,0,1
1.85,81.6,44.2,42,8.3,3.7,2.1,0.9,0.8,2,0,0,1
2.01,95.3,48.5,45,3,0.8,0.5,0.2,0,2,0,0,1
2.03,99.8,47.3,42.6,22.5,6.3,5.5,1.1,0.5,0,1,0,0
2.08,106.6,50.7,35.2,10.9,6.7,1.7,0.2,1.2,0,1,0,0
1.88,94.3,45.9,42.8,9.4,2.6,2.9,0.6,0.1,2,0,0,1
1.96,93.4,49.4,48.9,8.1,2.7,1.7,0.3,0.2,2,0,0,1
2.01,102.1,51.5,38.3,25.9,6.3,4.9,1.8,0.5,0,1,0,0
1.96,97.5,50,38.8,6.1,3.8,1.4,0.4,0.2,2,0,0,1
2.03,98.9,45.1,46.6,12.7,3.8,1.1,0.5,0.3,0,1,0,0
2.03,108.9,52.2,0,1.6,1.3,0.4,0.1,0.2,1,0,1,0
2.03,106,49.3,42.2,4.7,1.7,0.6,0.5,0.1,0,1,0,0
2.13,108.9,63.7,0,8.6,7.2,1.1,0.4,0.9,1,0,1,0
1.93,89.8,41.8,40.6,9.8,3.3,2.1,1,0.2,2,0,0,1
2.06,104.3,47.8,35.9,12.4,5.6,3.4,1.2,0.7,0,1,0,0
1.96,97.5,48.6,45.8,9.5,2.9,1.3,0.7,0.2,2,0,0,1
2.01,102.1,39.8,31.9,16.1,3,2.5,1.3,0.4,2,0,0,1
2.03,97.5,52.5,32.8,11.6,5.6,1.7,1.1,0.8,0,1,0,0
1.83,88.9,43.3,28.3,7,2.2,4.1,1.1,0.1,2,0,0,1
1.96,95.3,43.7,36,4,3.3,1.1,0.9,0.2,2,0,0,1
1.98,88.5,42.9,27.8,3.7,1.5,0.4,0.2,0.2,0,1,0,0
1.88,90.7,47.8,43.9,10,3.3,2.7,1.2,0.5,2,0,0,1
1.9,78.9,43.8,23.4,19.1,3.4,7.5,0.9,0.2,2,0,0,1
2.11,108.9,50,50,2.5,3.5,0.5,1,0,1,0,1,0
2.06,99.8,20,22.2,2,1.2,0.2,0.4,0.6,0,1,0,0
2.03,111.1,52,27,6.3,4.1,1.4,0.8,0.5,0,1,0,0
2.11,120.2,55.7,29.7,16.1,12.5,1.7,0.6,0.7,1,0,1,0
1.98,100.7,34.2,12.2,7.1,4.8,1.8,0.8,0.4,0,1,0,0
2.03,94.3,39.2,29,11.9,7.5,1.5,0.5,0.6,0,1,0,0
2.18,111.1,59.6,0,8.2,7.9,0.2,0.6,1.2,1,0,1,0
1.9,97.5,38.6,32.7,12.6,3.4,1.6,0.9,0.4,2,0,0,1
1.98,81.6,50.8,41.8,23.7,4.7,5.9,0.8,0.7,2,0,0,1
2.06,86.2,27.6,15.4,2.9,1.7,1,0,0,0,1,0,0
1.93,85.3,50.8,38.6,11.8,2.1,3.1,0.9,0.1,2,0,0,1
2.06,108.9,45,36.8,14.2,6.7,3.4,0.9,0.9,1,0,1,0
2.03,99.8,41.8,30.5,7,2.2,1.5,0.4,0.1,0,1,0,0
1.96,88.5,45.9,44.9,9.9,3.1,3.5,0.9,0.1,2,0,0,1
1.93,79.4,38.3,37.1,8.7,3.3,3.4,1,0.1,2,0,0,1
1.98,102.1,45.2,40.7,3.4,1.4,1.1,0.6,0.3,0,1,0,0
2.08,108.9,44.6,37,9.7,3.8,0.8,0.2,0.3,0,1,0,0
2.01,93,43.1,34.5,9,2.3,1.8,1,0,2,0,0,1
2.13,86.2,30.7,23.4,6.3,4.7,1.8,0.4,1,1,0,1,0
2.03,104.3,50.6,31.8,9,5.6,1.8,0.9,0.7,0,1,0,0
1.98,95.3,57.6,43.5,7.2,4,1.9,0.7,0.2,2,0,0,1
2.08,90.7,50,0,1,1.7,0,0.3,0.5,0,1,0,0
2.01,108.9,64.3,0,2,1.4,0.1,0.4,0.1,0,1,0,0
1.96,92.5,42.1,39.4,8.4,2.4,1.5,0.8,0.3,2,0,0,1
1.93,84.4,40.2,38.6,5.6,3,2.4,1.1,0.2,2,0,0,1
2.08,114.8,53.3,29.3,22.5,8.4,3,1.3,1.8,0,1,0,0
1.98,107.5,28.6,40,0.5,1.7,0.5,0.1,0.1,0,1,0,0
2.11,115.7,40.4,35.5,4.8,3.9,2,0.5,1.2,1,0,1,0
